station_m,row,col,bed_m
0.000,3926,3590,3008.6111
42.426,3925,3589,3007.3293
84.853,3924,3588,3005.9888
127.279,3923,3587,3004.7571
169.706,3922,3586,3004.0522
212.132,3921,3585,3003.7371
254.558,3920,3584,3002.3220
296.985,3919,3583,2999.9949
326.985,3919,3582,2998.8838
356.985,3919,3581,2997.7483
399.411,3918,3580,2995.8994
429.411,3918,3579,2995.0178
471.838,3917,3578,2993.8628
501.838,3917,3577,2993.2000
544.264,3916,3576,2992.1423
574.264,3916,3575,2991.2649
616.690,3915,3574,2989.8308
646.690,3915,3573,2989.0901
676.690,3914,3573,2989.0901
719.117,3913,3572,2988.3491
761.543,3912,3571,2986.4939
803.970,3911,3570,2984.7249
846.396,3910,3569,2983.4175
888.823,3909,3568,2982.0295
918.823,3909,3567,2981.7007
961.249,3908,3566,2981.2654
991.249,3908,3565,2979.9028
1033.675,3907,3564,2978.1218
1076.102,3906,3563,2976.3787
1106.102,3906,3562,2974.8062
1148.528,3905,3561,2971.7319
1190.955,3904,3560,2968.1843
1233.381,3903,3559,2965.3330
1275.807,3902,3558,2963.6448
1305.807,3901,3558,2961.3347
1348.234,3900,3557,2961.3347
1378.234,3900,3556,2959.9211
1420.660,3899,3555,2958.4143
1450.660,3899,3554,2957.4875
1493.087,3898,3553,2955.2339
1523.087,3897,3553,2954.9805
1565.513,3896,3552,2954.9353
1607.939,3895,3551,2954.9351
1637.939,3895,3550,2954.9351
1680.366,3894,3549,2954.9348
1710.366,3894,3548,2954.9348
1752.792,3893,3547,2951.0156
1782.792,3893,3546,2949.6160
1825.219,3892,3545,2946.4709
1855.219,3892,3544,2945.2959
1897.645,3891,3543,2945.2959
1927.645,3891,3542,2943.0562
1957.645,3891,3541,2941.5696
1987.645,3891,3540,2941.5696
2030.071,3890,3539,2940.0344
2060.071,3890,3538,2938.1399
2102.498,3889,3537,2937.2795
2144.924,3888,3536,2935.4766
2187.351,3887,3535,2934.4187
2217.351,3887,3534,2934.4187
2259.777,3886,3533,2932.1880
2289.777,3886,3532,2928.3713
2319.777,3886,3531,2926.3677
2349.777,3886,3530,2924.6729
2379.777,3886,3529,2923.8496
2409.777,3886,3528,2922.9495
2439.777,3886,3527,2921.7004
2469.777,3886,3526,2921.5559
2499.777,3886,3525,2920.9736
2529.777,3886,3524,2920.7788
2572.203,3887,3523,2920.6069
2602.203,3887,3522,2920.6067
2644.630,3888,3521,2920.6067
2674.630,3888,3520,2918.9316
2704.630,3888,3519,2918.9314
2747.056,3889,3518,2918.9314
2789.483,3888,3517,2915.6877
2819.483,3888,3516,2915.6877
2861.909,3887,3515,2915.6875
2904.335,3886,3514,2915.6875
2934.335,3886,3513,2912.0488
2964.335,3886,3512,2909.7969
2994.335,3886,3511,2909.1035
3024.335,3886,3510,2909.1035
3054.335,3886,3509,2909.1033
3096.762,3885,3508,2909.1033
3126.762,3885,3507,2905.0842
3156.762,3885,3506,2903.6206
3199.188,3884,3505,2900.4226
3229.188,3884,3504,2899.4082
3271.615,3883,3503,2897.6167
3301.615,3883,3502,2895.8391
3331.615,3883,3501,2895.8389
3361.615,3883,3500,2895.8389
3404.041,3882,3499,2893.1726
3434.041,3882,3498,2887.3237
3476.468,3881,3497,2882.2283
3518.894,3880,3496,2879.3645
3561.320,3879,3495,2876.9778
3591.320,3879,3494,2873.5684
3633.747,3878,3493,2873.5684
3663.747,3878,3492,2871.3962
3693.747,3878,3491,2869.4822
3723.747,3878,3490,2866.6653
3753.747,3878,3489,2866.2439
3796.173,3877,3488,2864.8916
3826.173,3877,3487,2862.7275
3856.173,3877,3486,2860.4236
3898.600,3876,3485,2858.9800
3928.600,3876,3484,2856.7007
3958.600,3876,3483,2855.8784
3988.600,3876,3482,2855.8784
4031.026,3875,3481,2854.0625
4061.026,3875,3480,2852.8201
4103.452,3874,3479,2850.8484
4133.452,3874,3478,2849.8518
4175.879,3873,3477,2849.0356
4205.879,3873,3476,2847.0374
4248.305,3872,3475,2845.3159
4290.732,3871,3474,2842.8813
4333.158,3870,3473,2842.5510
4375.584,3869,3472,2841.2874
4405.584,3868,3472,2839.0710
4435.584,3868,3471,2838.6643
4478.011,3867,3470,2837.3992
4508.011,3867,3469,2836.6377
4538.011,3867,3468,2835.9382
4568.011,3867,3467,2835.1731
4598.011,3867,3466,2834.0449
4628.011,3867,3465,2833.6025
4658.011,3867,3464,2832.7681
4700.437,3866,3463,2832.7681
4730.437,3866,3462,2832.4788
4772.864,3865,3461,2830.9773
4815.290,3864,3460,2829.1045
4845.290,3864,3459,2829.1042
4887.716,3863,3458,2829.1042
4917.716,3863,3457,2826.2981
4947.716,3863,3456,2825.4802
4977.716,3863,3455,2825.4800
5007.716,3863,3454,2825.4800
5050.143,3862,3453,2821.5344
5092.569,3861,3452,2820.3123
5122.569,3861,3451,2815.8296
5152.569,3861,3450,2814.6326
5194.996,3860,3449,2813.6797
5237.422,3859,3448,2809.4641
5279.848,3858,3447,2806.6924
5309.848,3857,3447,2806.2219
5352.275,3856,3446,2803.5095
5382.275,3855,3446,2802.7947
5412.275,3854,3446,2802.7947
5442.275,3853,3446,2802.7791
5484.701,3852,3445,2801.1023
5514.701,3851,3445,2798.3203
5544.701,3850,3445,2796.6016
5574.701,3849,3445,2794.3940
5604.701,3848,3445,2791.1313
5634.701,3847,3445,2790.0679
5664.701,3846,3445,2789.6482
5694.701,3845,3445,2789.3445
5724.701,3844,3445,2787.5579
5754.701,3843,3445,2784.1484
5784.701,3842,3445,2781.6770
5814.701,3841,3445,2780.3911
5844.701,3840,3445,2778.4834
5874.701,3839,3445,2777.2065
5904.701,3838,3445,2776.8210
5947.128,3837,3444,2774.1519
5989.554,3836,3443,2773.2212
6031.981,3835,3442,2772.2820
6074.407,3834,3441,2771.5142
6116.833,3833,3440,2770.6265
6159.260,3832,3439,2769.7346
6189.260,3831,3439,2768.6692
6231.686,3830,3438,2768.1174
6261.686,3829,3438,2767.0867
6304.113,3828,3437,2765.6050
6346.539,3827,3436,2764.3157
6376.539,3826,3436,2763.4023
6406.539,3825,3436,2763.4023
6448.965,3824,3435,2761.2192
6478.965,3823,3435,2758.9958
6508.965,3822,3435,2758.0740
6538.965,3821,3435,2756.6631
6568.965,3820,3435,2754.6472
6611.392,3819,3436,2752.6091
6641.392,3818,3436,2751.4934
6683.818,3817,3437,2751.4604
6713.818,3816,3437,2751.4602
6743.818,3815,3437,2751.4602
6773.818,3814,3437,2750.8438
6816.245,3813,3436,2748.4668
6846.245,3812,3436,2746.4019
6888.671,3811,3435,2746.4019
6918.671,3810,3435,2745.0598
6961.097,3809,3434,2742.9897
7003.524,3808,3433,2742.6887
7033.524,3807,3433,2742.4006
7075.950,3806,3432,2739.9548
7118.377,3805,3431,2738.3472
7148.377,3804,3431,2738.1631
7178.377,3803,3431,2738.1631
7220.803,3802,3430,2738.1628
7263.229,3801,3429,2738.1628
7305.656,3800,3428,2738.1626
7348.082,3799,3427,2738.1626
7378.082,3798,3427,2734.6431
7408.082,3797,3427,2731.0161
7438.082,3796,3427,2731.0159
7480.509,3795,3428,2731.0159
7510.509,3794,3428,2728.4128
7540.509,3793,3428,2725.7258
7570.509,3792,3428,2723.7100
7612.935,3791,3427,2722.5627
7642.935,3790,3427,2720.9409
7672.935,3789,3427,2719.8398
7702.935,3788,3427,2719.2297
7745.361,3787,3426,2718.0867
7775.361,3786,3426,2717.2349
7805.361,3785,3426,2717.2346
7835.361,3784,3426,2717.2346
7877.788,3783,3425,2714.5469
7920.214,3782,3424,2712.6663
7962.641,3781,3423,2711.0901
8005.067,3780,3422,2708.2090
8035.067,3780,3421,2705.1973
8065.067,3780,3420,2704.2603
8095.067,3780,3419,2704.2603
8137.494,3779,3418,2702.7886
8179.920,3778,3417,2699.1526
8222.346,3777,3416,2697.3628
8264.773,3776,3415,2695.9294
8307.199,3775,3414,2694.2993
8349.626,3774,3413,2693.6829
8392.052,3773,3412,2693.6826
8422.052,3772,3412,2693.6826
8464.478,3771,3411,2693.6824
8494.478,3770,3411,2693.6824
8536.905,3769,3410,2690.5894
8579.331,3768,3409,2689.2637
8609.331,3767,3409,2687.5171
8651.758,3766,3408,2685.0786
8681.758,3766,3407,2684.7937
8724.184,3765,3406,2683.5867
8754.184,3765,3405,2682.5054
8784.184,3765,3404,2681.7612
8814.184,3765,3403,2681.5706
8856.610,3764,3402,2680.6504
8899.037,3763,3401,2678.3418
8941.463,3762,3400,2677.3589
8983.890,3761,3399,2676.7881
9026.316,3760,3398,2676.1611
9056.316,3760,3397,2675.4675
9086.316,3760,3396,2675.0085
9116.316,3760,3395,2674.9280
9158.742,3759,3394,2673.6653
9188.742,3759,3393,2672.0945
9231.169,3758,3392,2671.4907
9273.595,3757,3391,2669.8911
9316.022,3756,3390,2669.0352
9358.448,3755,3389,2668.0647
9400.874,3754,3388,2667.4468
9443.301,3753,3387,2666.5181
9485.727,3752,3386,2665.2498
9528.154,3751,3385,2664.1392
9570.580,3750,3384,2663.0488
9613.006,3749,3383,2662.2065
9643.006,3748,3383,2661.4897
9685.433,3747,3382,2660.9214
