station_m,row,col,bed_m
0.000,4049,4337,584.7332
42.426,4050,4336,584.7331
72.426,4050,4335,584.7330
102.426,4050,4334,584.7329
144.853,4051,4333,584.7328
174.853,4051,4332,584.7327
204.853,4051,4331,584.7326
234.853,4051,4330,584.7325
277.279,4052,4329,584.6738
307.279,4052,4328,582.1962
337.279,4052,4327,581.8654
379.706,4053,4326,581.6119
409.706,4053,4325,581.5913
452.132,4054,4324,580.0356
482.132,4054,4323,580.0355
524.558,4055,4322,579.2698
566.985,4056,4321,578.4123
609.411,4057,4320,577.9085
651.838,4058,4319,577.0810
694.264,4059,4318,576.5535
724.264,4059,4317,576.5052
766.690,4060,4316,576.3228
809.117,4061,4315,576.3226
839.117,4061,4314,576.3226
869.117,4061,4313,576.3224
911.543,4062,4312,574.6517
941.543,4062,4311,574.5779
971.543,4062,4310,574.0610
1001.543,4062,4309,573.8204
1031.543,4062,4308,573.8203
1073.970,4061,4307,573.0453
1116.396,4060,4306,573.0452
1146.396,4060,4305,572.1909
1188.823,4059,4304,572.1908
1218.823,4059,4303,572.1907
1248.823,4059,4302,572.1906
1278.823,4059,4301,572.1905
1308.823,4059,4300,572.1904
1338.823,4059,4299,571.8987
1368.823,4059,4298,571.5283
1398.823,4059,4297,570.7668
1428.823,4059,4296,569.2739
1458.823,4059,4295,568.6321
1501.249,4060,4294,568.3894
1531.249,4060,4293,567.7525
1561.249,4060,4292,567.1768
1603.675,4061,4291,567.0922
1633.675,4061,4290,566.5243
1663.675,4061,4289,565.6783
1706.102,4062,4288,565.1711
1748.528,4063,4287,565.1272
1778.528,4064,4287,565.1271
1808.528,4065,4287,565.1270
1838.528,4066,4287,564.6681
1868.528,4067,4287,564.1802
1898.528,4068,4287,564.0221
1928.528,4069,4287,563.5527
1958.528,4070,4287,563.0061
1988.528,4071,4287,562.9475
2018.528,4072,4287,562.4318
2060.955,4073,4288,562.0354
2090.955,4074,4288,561.5580
2120.955,4075,4288,561.4326
2163.381,4076,4287,561.4325
2193.381,4077,4287,560.5300
2235.807,4078,4286,560.1137
2278.234,4079,4285,560.0384
2308.234,4079,4284,558.6400
2338.234,4079,4283,558.3483
2368.234,4079,4282,558.3481
2410.660,4078,4281,558.0671
2440.660,4078,4280,557.8535
2470.660,4078,4279,557.8534
2513.087,4077,4278,557.8533
2543.087,4077,4277,557.8532
2585.513,4076,4276,557.8531
2627.939,4075,4275,555.8548
2670.366,4074,4274,555.8547
2712.792,4073,4273,555.5902
2755.219,4072,4272,554.6956
2797.645,4071,4271,554.6956
2827.645,4070,4271,554.6954
2870.071,4069,4270,553.5634
2912.498,4068,4269,553.3484
2942.498,4068,4268,553.3483
2984.924,4067,4267,553.3483
3027.351,4066,4266,553.3481
3057.351,4066,4265,551.7302
3087.351,4066,4264,551.7300
3117.351,4066,4263,551.7300
3159.777,4067,4262,551.7299
3189.777,4067,4261,550.4488
3219.777,4067,4260,550.4487
3249.777,4067,4259,550.4486
3292.203,4068,4258,549.7991
3322.203,4068,4257,548.8602
3352.203,4068,4256,547.7986
3394.630,4069,4255,547.7985
3424.630,4069,4254,546.6506
3467.056,4070,4253,546.5768
3509.483,4071,4252,546.5768
3551.909,4072,4251,546.5767
3594.335,4073,4250,546.4530
3624.335,4073,4249,546.4529
3654.335,4073,4248,546.4528
3696.762,4072,4247,546.3171
3739.188,4071,4246,546.3170
3769.188,4071,4245,543.5692
3811.615,4070,4244,543.5692
3854.041,4069,4243,543.5690
3884.041,4069,4242,543.2102
3926.468,4068,4241,543.2101
3968.894,4067,4240,541.8057
4011.320,4066,4239,541.8057
4053.747,4065,4238,541.8055
4096.173,4064,4237,541.0370
4138.600,4063,4236,540.9551
4168.600,4062,4236,540.6404
4198.600,4061,4236,540.2973
4228.600,4060,4236,540.0258
4271.026,4059,4235,538.8867
4313.452,4058,4234,537.9323
4343.452,4058,4233,537.9323
4385.879,4059,4232,537.9321
4415.879,4059,4231,536.8117
4445.879,4059,4230,536.8116
4488.305,4060,4229,536.7424
4530.732,4061,4228,536.7424
4560.732,4061,4227,536.7422
4603.158,4062,4226,536.7421
4645.584,4063,4225,536.7421
4675.584,4063,4224,536.7419
4718.011,4064,4223,535.5663
4760.437,4065,4222,535.5662
4790.437,4065,4221,535.5661
4820.437,4065,4220,535.5660
4850.437,4065,4219,534.8179
4880.437,4065,4218,533.3633
4910.437,4065,4217,533.3632
4952.864,4064,4216,532.7502
4982.864,4064,4215,532.7501
5025.290,4063,4214,532.0104
5055.290,4063,4213,532.0103
5097.716,4062,4212,531.7205
5127.716,4062,4211,531.4361
5157.716,4062,4210,531.4360
5187.716,4062,4209,531.4359
5217.716,4062,4208,531.2530
5247.716,4062,4207,530.8598
5277.716,4062,4206,530.5755
5307.716,4062,4205,529.7229
5337.716,4062,4204,529.0063
5367.716,4062,4203,528.7000
5397.716,4062,4202,527.8655
5427.716,4062,4201,527.8654
5470.143,4063,4200,527.8653
5500.143,4063,4199,526.8777
5530.143,4063,4198,526.8776
5572.569,4064,4197,525.4821
5602.569,4064,4196,525.2055
5644.996,4065,4195,524.9298
5674.996,4065,4194,524.9297
5704.996,4065,4193,524.8497
5734.996,4065,4192,524.7661
5764.996,4065,4191,524.3480
5794.996,4065,4190,524.2135
5824.996,4065,4189,524.2011
5867.422,4064,4188,524.2010
5897.422,4064,4187,523.8818
5927.422,4064,4186,523.8623
5957.422,4064,4185,523.8622
5999.848,4063,4184,523.8621
6029.848,4063,4183,522.7629
6059.848,4063,4182,522.2581
6089.848,4062,4182,522.2579
6119.848,4061,4182,521.9443
6149.848,4060,4182,521.8591
6179.848,4059,4182,521.8590
6209.848,4058,4182,521.8589
6239.848,4057,4182,521.8588
6282.275,4056,4181,521.8587
6312.275,4055,4181,519.4763
6354.701,4054,4180,519.1965
6397.128,4053,4179,519.1964
6427.128,4053,4178,518.5204
6469.554,4052,4177,518.5203
6499.554,4052,4176,518.5202
6529.554,4052,4175,518.5201
6559.554,4052,4174,518.5200
6589.554,4052,4173,518.5199
6619.554,4052,4172,518.5198
6649.554,4052,4171,518.0436
6679.554,4052,4170,517.7671
6709.554,4052,4169,517.7670
6739.554,4052,4168,517.7668
6769.554,4052,4167,517.7668
6799.554,4052,4166,517.7667
6841.981,4051,4165,517.5891
6871.981,4051,4164,517.0515
6901.981,4051,4163,516.4608
6931.981,4051,4162,515.9793
6974.407,4052,4161,515.5776
7004.407,4052,4160,515.1455
7034.407,4052,4159,514.9010
7064.407,4052,4158,514.4435
7094.407,4052,4157,514.0453
7124.407,4052,4156,514.0452
7166.833,4053,4155,514.0451
7196.833,4053,4154,513.1183
7226.833,4053,4153,513.1182
7269.260,4054,4152,513.1182
7299.260,4054,4151,513.1180
7329.260,4054,4150,512.8677
7359.260,4054,4149,512.0514
7401.686,4053,4148,511.3751
7431.686,4053,4147,510.5533
7461.686,4053,4146,510.5532
7504.113,4052,4145,509.8730
7534.113,4052,4144,509.6390
7564.113,4052,4143,509.2121
7594.113,4052,4142,508.9200
7624.113,4052,4141,508.6434
7666.539,4051,4140,508.4809
7696.539,4051,4139,508.0226
7726.539,4051,4138,507.9234
7756.539,4051,4137,507.9233
7798.965,4050,4136,507.9232
7841.392,4049,4135,507.9231
7883.818,4048,4134,507.9230
7913.818,4047,4134,507.9229
7956.245,4046,4133,506.8055
7998.671,4045,4132,506.8054
8028.671,4044,4132,506.3430
8058.671,4043,4132,506.3428
8101.097,4042,4131,506.3427
8131.097,4041,4131,505.8609
8161.097,4040,4131,505.5449
8191.097,4039,4131,505.5448
8221.097,4038,4131,504.9283
8263.524,4037,4132,504.7823
8305.950,4036,4133,504.3532
8335.950,4035,4133,504.0383
8378.377,4034,4132,504.0382
8408.377,4033,4132,503.3693
8450.803,4032,4131,502.0885
8493.229,4031,4130,501.5715
8535.656,4030,4129,500.6850
8578.082,4029,4128,500.1710
8608.082,4028,4128,499.6998
8650.509,4027,4127,499.1111
8692.935,4026,4126,498.2813
8735.361,4025,4125,497.7434
8777.788,4024,4124,497.0000
8807.788,4024,4123,496.9667
8837.788,4024,4122,496.7693
8880.214,4023,4121,495.9442
8910.214,4023,4120,495.6112
8940.214,4023,4119,495.6111
8982.641,4024,4118,495.1270
9012.641,4024,4117,494.6009
9055.067,4025,4116,493.9631
9097.494,4026,4115,493.0269
9139.920,4027,4114,491.9806
9169.920,4028,4114,491.8083
9212.346,4029,4113,491.6433
9242.346,4030,4113,491.6432
9284.773,4031,4112,490.5705
9314.773,4032,4112,490.4582
9357.199,4033,4111,489.3637
9387.199,4033,4110,489.3636
9417.199,4033,4109,488.7890
9459.626,4032,4108,488.5683
9502.052,4031,4107,488.2728
9544.478,4030,4106,487.5111
9574.478,4029,4106,487.3709
9604.478,4028,4106,487.2998
9634.478,4027,4106,487.1583
9676.905,4026,4105,486.4583
9706.905,4025,4105,486.0123
9749.331,4024,4104,486.0122
9791.758,4023,4103,486.0121
9834.184,4022,4102,485.2338
9864.184,4022,4101,485.2337
9894.184,4022,4100,484.8877
9924.184,4022,4099,483.0000
9954.184,4022,4098,482.7481
9984.184,4022,4097,482.1810
10014.184,4022,4096,482.0000
