x,h_sim
0.5,1.0
1.5,1.0
2.5,1.0
3.5,1.0
4.5,1.0
5.5,1.0
6.5,1.0
7.5,1.0
8.5,1.0
9.5,1.0
10.5,1.0
11.5,1.0
12.5,1.0
13.5,1.0
14.5,1.0
15.5,1.0
16.5,1.0
17.5,1.0
18.5,1.0
19.5,1.0
20.5,1.0
21.5,1.0
22.5,1.0
23.5,1.0
24.5,1.0
25.5,1.0
26.5,1.0
27.5,1.0
28.5,0.9999999999999896
29.5,0.9999999999986136
30.5,0.999999999857808
31.5,0.9999999891685212
32.5,0.9999994210665983
33.5,0.9999810048562084
34.5,0.9996579862688941
35.5,0.9966531292841948
36.5,0.9829340033398852
37.5,0.9544715163332818
38.5,0.9167283444958291
39.5,0.8750338883788028
40.5,0.8321368619608164
41.5,0.7893431490136463
42.5,0.7471902821814242
43.5,0.7060208166330091
44.5,0.665878480983181
45.5,0.6269242791394812
46.5,0.5890836033996465
47.5,0.5523355115519658
48.5,0.5164386324317783
49.5,0.48046944855886786
50.5,0.4293010068151615
51.5,0.39783949554336817
52.5,0.3676823949173205
53.5,0.33729985220331427
54.5,0.3061377082172184
55.5,0.27784249039792014
56.5,0.2509696830697108
57.5,0.22525078697454082
58.5,0.20091646087826137
59.5,0.1775959800039
60.5,0.15574284443197062
61.5,0.13508167471499655
62.5,0.1152351580962555
63.5,0.09706655733552676
64.5,0.07985373570274916
65.5,0.0620811120338783
66.5,0.053938496827676596
67.5,0.029653913952270225
68.5,0.021032256037823945
69.5,0.01105095281656589
70.5,0.00043176217208596687
71.5,8.580905186241538e-06
72.5,1.7227997576399666e-07
73.5,5.8029445570769136e-09
74.5,1.0439124923801068e-10
75.5,3.302127918713229e-13
76.5,0.0
77.5,0.0
78.5,0.0
79.5,0.0
80.5,0.0
81.5,0.0
82.5,0.0
83.5,0.0
84.5,0.0
85.5,0.0
86.5,0.0
87.5,0.0
88.5,0.0
89.5,0.0
90.5,0.0
91.5,0.0
92.5,0.0
93.5,0.0
94.5,0.0
95.5,0.0
96.5,0.0
97.5,0.0
98.5,0.0
99.5,0.0
