hydroflux_m,synxflow_m
0.457106,0.457
0.457106,0.457
0.91421,0.913945
0.457106,0.457
3.071084,3.090991
1.216162,1.235975
1.216074,1.235966
1.216074,1.235965
0.0,0.011951
1.215952,1.235977
0.856119,0.875951
1.215861,1.23597
0.949285,0.967117
0.226285,0.193833
0.010009,0.004585
0.01036,0.003798
0.010341,0.003768
0.010454,0.003921
0.0105,0.003981
0.010368,0.00398
0.010398,0.004013
0.010339,0.00407
0.010354,0.004082
0.907044,0.919998
0.906956,0.919985
0.906964,0.919987
0.90686,0.920007
0.906868,0.92
0.906761,0.919999
0.906762,0.919979
0.90668,0.920002
0.906554,0.92
0.90646,0.918991
0.906374,0.918992
0.906295,0.918992
0.90618,0.918956
0.90617,0.918939
0.348213,0.361063
0.906081,0.918945
0.338149,0.351057
0.906021,0.919058
0.905996,0.919054
0.905895,0.918963
0.905857,0.91896
0.369799,0.383138
0.905581,0.919139
0.099555,0.113191
0.90354,0.919081
0.854888,0.919196
0.06155,0.063186
0.011548,0.01106
0.013631,0.012239
0.014197,0.012435
0.015946,0.013677
0.014943,0.013077
0.016323,0.013892
0.017442,0.014785
0.019671,0.015911
0.021321,0.016629
0.022248,0.017165
0.02256,0.01752
0.018385,0.015091
0.018651,0.015533
0.019827,0.016165
0.021298,0.016769
0.022375,0.017314
0.023005,0.017862
0.02347,0.018239
0.019241,0.015845
0.019127,0.015725
0.019398,0.015976
0.020069,0.016396
0.021212,0.016893
0.022435,0.017468
0.023343,0.018291
0.023998,0.018622
0.024438,0.018469
0.019175,0.015911
0.01918,0.015914
0.019586,0.016178
0.020095,0.016464
0.021103,0.016918
0.022344,0.017346
0.02359,0.017706
0.024605,0.018962
0.024887,0.018888
0.019678,0.016279
0.019836,0.01637
0.025538,0.019544
0.025671,0.020301
0.026189,0.020552
0.025767,0.019388
0.02605,0.019721
0.026723,0.021331
0.027232,0.022627
0.027355,0.02163
0.027826,0.023847
0.0282,0.024366
0.028657,0.024602
0.028613,0.024746
0.029191,0.02507
0.029199,0.025192
0.029449,0.025373
0.029903,0.025749
0.030287,0.026081
0.030456,0.026263
0.030485,0.026354
0.030681,0.026569
0.030759,0.026704
0.030972,0.02693
0.03069,0.026698
0.030869,0.0269
0.031003,0.027081
0.031023,0.027145
0.0313,0.027419
0.032011,0.028057
0.032268,0.028233
0.032293,0.02738
0.032338,0.027354
0.032474,0.027703
0.032472,0.027469
0.032576,0.028419
0.032578,0.02721
0.032643,0.028204
0.032663,0.027759
0.032745,0.027333
0.032603,0.027681
0.03265,0.02809
0.032691,0.028782
0.032608,0.028049
0.032663,0.029098
0.185558,0.181687
0.185436,0.180696
0.185344,0.180686
0.032684,0.029246
0.032817,0.029392
0.18565,0.181695
0.185558,0.181696
0.185436,0.180683
0.185344,0.1807
0.032832,0.029513
0.032917,0.029475
0.032827,0.027165
0.222209,0.235001
0.222119,0.23503
0.226987,0.23503
0.185436,0.180699
0.185344,0.180686
0.185253,0.18069
0.032841,0.028822
0.03284,0.028051
0.032759,0.025273
0.185344,0.180685
0.185253,0.180686
0.185253,0.180679
0.185161,0.180681
0.164013,0.15969
0.185161,0.180681
0.185039,0.180702
0.185039,0.180683
0.675016,0.457
0.704782,0.699624
0.675937,0.699625
0.679283,0.699574
0.133829,0.150576
0.678156,0.699477
0.681469,0.699475
0.701736,0.699508
0.59387,0.598527
0.638731,0.720045
0.638609,0.67567
0.027621,0.02803
0.02753,0.02803
0.397708,0.409593
0.397617,0.406959
0.397617,0.405867
0.397525,0.410142
0.397525,0.407481
0.397525,0.412765
0.176852,0.188746
0.397433,0.405502
0.397433,0.411423
0.397311,0.38814
0.397311,0.378852
0.39722,0.322445
0.011048,0.011001
0.010926,0.010998
0.483613,0.484165
0.483521,0.483172
0.483521,0.483191
0.48343,0.483175
0.351441,0.351028
0.457106,0.457
0.457106,0.457
0.58196,0.521259
0.789355,0.850021
0.554823,0.555008
0.359388,0.358994
0.457106,0.457001
