iter,n_estimate,centroid,loss,dc_dn,step
0,0.0800000000,26.5466849336,1.2163895557e0,-3.5856871574e1,-3.0758414524e-2
1,0.0492415855,27.4950728017,2.3874159416e-2,-2.2173641671e1,-6.9683028890e-3
2,0.0422732826,27.6217245587,7.7622943079e-4,-1.3843987963e1,-2.0124905026e-3
3,0.0402607921,27.6467876708,7.8275857019e-6,-1.1012141646e1,-2.5406341225e-4
4,0.0400067287,27.6495148018,4.9915922052e-9,-1.0521682425e1,-6.7148197566e-6
5,0.0400000139,27.6495853076,2.1138037365e-14,-1.0512152066e1,-1.3830589646e-8
6,0.0400000000,27.6495854528,5.0537316554e-20,-1.0512125105e1,-2.1385310886e-11
7,0.0400000000,27.6495854530,1.4450669606e-25,-1.0512125064e1,-3.6162085338e-14
8,0.0400000000,27.6495854530,0.0000000000e0,-1.0512125064e1,0.0000000000e0
9,0.0400000000,27.6495854530,0.0000000000e0,-1.0512125064e1,0.0000000000e0
10,0.0400000000,27.6495854530,0.0000000000e0,-1.0512125064e1,0.0000000000e0
11,0.0400000000,27.6495854530,0.0000000000e0,-1.0512125064e1,0.0000000000e0
