step,t_seconds,max_abs_dval,max_h,n_wet,flips
1,2.834,0.000000e0,0.774112,205,99
250,331.150,1.833992e3,2.396133,219,201
500,638.794,2.414689e6,2.442094,218,119
750,943.977,1.892348e10,2.477187,218,103
1000,1247.159,4.865860e10,2.508102,218,43
1250,1548.575,1.417016e12,2.536192,217,36
1500,1848.408,6.351581e14,2.561872,217,34
1750,2146.812,6.264345e14,2.585406,217,8
2000,2443.923,9.679553e17,2.607016,217,26
2250,2739.861,4.137806e20,2.626899,217,36
2500,3034.730,1.666053e24,2.645230,217,43
2750,3328.623,4.453342e27,2.662174,217,43
3000,3621.624,2.688405e30,2.677811,217,40
3250,3913.803,3.266225e30,2.692346,217,49
3500,4205.225,1.913066e33,2.705906,217,49
3750,4495.944,1.870495e36,2.718626,217,51
4000,4786.006,7.430837e40,2.730605,217,59
4250,5075.452,1.337677e44,2.741963,217,51
4500,5364.313,5.193794e45,2.752886,218,58
4750,5652.611,4.292896e48,2.763553,217,67
5000,5940.362,4.424148e53,2.773897,217,79
5250,6227.592,1.616679e56,2.783574,217,79
5500,6514.346,3.007839e56,2.792607,217,92
5750,6800.644,7.141506e57,2.801408,217,102
6000,7086.500,5.362451e59,2.809947,217,94
6250,7371.932,1.500169e62,2.818188,217,48
6500,7656.955,7.353246e64,2.826129,217,43
6750,7941.587,1.229516e65,2.833743,217,22
7000,8225.846,1.770767e67,2.841039,218,21
7250,8509.774,8.278385e68,2.846931,218,24
7500,8793.418,6.745879e70,2.852610,219,20
7750,9076.787,4.382092e72,2.858066,219,23
8000,9359.892,3.659418e74,2.863342,219,19
8250,9642.741,2.181650e76,2.868414,219,24
8500,9925.347,9.618831e77,2.873294,220,18
8750,10207.717,2.391023e79,2.877997,221,18
9000,10489.862,1.565507e81,2.882527,221,20
9250,10771.790,4.833947e82,2.886900,221,18
9500,11053.509,1.438303e84,2.891122,221,18
9750,11335.026,4.506134e85,2.895200,221,18
10000,11616.349,1.034924e87,2.899142,221,18
10250,11897.485,1.757299e88,2.902953,221,16
10500,12178.440,4.272343e89,2.906641,221,18
10750,12459.220,6.834122e90,2.910210,221,16
11000,12739.831,2.159046e92,2.913667,221,18
11250,13020.279,3.039221e93,2.917016,220,16
11500,13300.569,3.475093e94,2.920262,220,16
11750,13580.706,5.460082e95,2.923411,220,16
12000,13860.695,7.930090e96,2.926465,220,16
12250,14140.541,1.427014e98,2.929430,220,16
12500,14420.247,1.709209e99,2.932308,220,16
12750,14699.819,2.238520e100,2.935104,220,16
