class,n_value,retained_m3,retained_vs_uniform_pct,outflow_m3s,outflow_vs_uniform_pct,dh_mean_channel_m,n_wet,h_max_m
uniform,0.04,2.201345e5,0.000,15.5616,0.000,0.00000,277,4.3916
baseline,—,2.691622e5,22.272,14.9942,-3.646,0.18749,286,4.3554
tree,0.060,2.411534e5,9.548,15.3183,-1.563,0.07766,281,4.3743
tree,0.150,3.043092e5,38.238,14.5874,-6.261,0.32225,290,4.3499
shrub,0.040,2.677775e5,21.643,15.0102,-3.543,0.18115,287,4.3735
shrub,0.080,2.716512e5,23.402,14.9654,-3.832,0.19917,287,4.3473
bare,0.020,2.691384e5,22.261,14.9944,-3.645,0.18785,286,4.3662
bare,0.030,2.692720e5,22.322,14.9929,-3.655,0.18871,285,4.3672
corner-min,—,2.393588e5,8.733,15.3391,-1.430,0.06719,284,4.2900
corner-max,—,3.061804e5,39.088,14.5657,-6.400,0.33138,288,4.3946
