x,h_analytical,h_sim
0.5000,0.485593,0.485789
1.5000,0.485593,0.485535
2.5000,0.485593,0.485531
3.5000,0.485593,0.485531
4.5000,0.485593,0.485529
5.5000,0.485593,0.485528
6.5000,0.485593,0.485527
7.5000,0.485593,0.485526
8.5000,0.485593,0.485524
9.5000,0.485593,0.485523
10.5000,0.485593,0.485521
11.5000,0.485593,0.485520
12.5000,0.485593,0.485519
13.5000,0.485593,0.485517
14.5000,0.485593,0.485516
15.5000,0.485593,0.485514
16.5000,0.485593,0.485513
17.5000,0.485593,0.485511
18.5000,0.485593,0.485510
19.5000,0.485593,0.485508
20.5000,0.485593,0.485507
21.5000,0.485593,0.485505
22.5000,0.485593,0.485503
23.5000,0.485593,0.485502
24.5000,0.485593,0.485500
25.5000,0.485593,0.485499
26.5000,0.485593,0.485497
27.5000,0.485593,0.485495
28.5000,0.485593,0.485494
29.5000,0.485593,0.485492
30.5000,0.485593,0.485490
31.5000,0.485593,0.485488
32.5000,0.485593,0.485487
33.5000,0.485593,0.485485
34.5000,0.485593,0.485483
35.5000,0.485593,0.485481
36.5000,0.485593,0.485480
37.5000,0.485593,0.485478
38.5000,0.485593,0.485476
39.5000,0.485593,0.485474
40.5000,0.485593,0.485472
41.5000,0.485593,0.485470
42.5000,0.485593,0.485469
43.5000,0.485593,0.485466
44.5000,0.485593,0.485463
45.5000,0.485593,0.485456
46.5000,0.485593,0.485437
47.5000,0.485593,0.485395
48.5000,0.485593,0.485325
49.5000,0.485593,0.485239
