x,h_analytical,h_sim
0.1250,1.000000,1.000000
0.3750,1.000000,1.000000
0.6250,1.000000,1.000000
0.8750,1.000000,1.000000
1.1250,1.000000,1.000000
1.3750,1.000000,1.000000
1.6250,1.000000,1.000000
1.8750,1.000000,1.000000
2.1250,1.000000,1.000000
2.3750,1.000000,1.000000
2.6250,1.000000,1.000000
2.8750,1.000000,1.000000
3.1250,1.000000,1.000000
3.3750,1.000000,1.000000
3.6250,1.000000,1.000000
3.8750,1.000000,1.000000
4.1250,1.000000,1.000000
4.3750,1.000000,1.000000
4.6250,1.000000,1.000000
4.8750,1.000000,1.000000
5.1250,1.000000,1.000000
5.3750,1.000000,1.000000
5.6250,1.000000,1.000000
5.8750,1.000000,1.000000
6.1250,1.000000,1.000000
6.3750,1.000000,1.000000
6.6250,1.000000,1.000000
6.8750,1.000000,1.000000
7.1250,1.000000,1.000000
7.3750,1.000000,1.000000
7.6250,1.000000,1.000000
7.8750,1.000000,1.000000
8.1250,1.000000,1.000000
8.3750,1.000000,1.000000
8.6250,1.000000,1.000000
8.8750,1.000000,1.000000
9.1250,1.000000,1.000000
9.3750,1.000000,1.000000
9.6250,1.000000,1.000000
9.8750,1.000000,1.000000
10.1250,1.000000,1.000000
10.3750,1.000000,1.000000
10.6250,1.000000,1.000000
10.8750,1.000000,1.000000
11.1250,1.000000,1.000000
11.3750,1.000000,1.000000
11.6250,1.000000,1.000000
11.8750,1.000000,1.000000
12.1250,1.000000,1.000000
12.3750,1.000000,1.000000
12.6250,1.000000,1.000000
12.8750,1.000000,1.000000
13.1250,1.000000,1.000000
13.3750,1.000000,1.000000
13.6250,1.000000,1.000000
13.8750,1.000000,1.000000
14.1250,1.000000,1.000000
14.3750,1.000000,1.000000
14.6250,1.000000,1.000000
14.8750,1.000000,1.000000
15.1250,1.000000,1.000000
15.3750,1.000000,1.000000
15.6250,1.000000,1.000000
15.8750,1.000000,1.000000
16.1250,1.000000,1.000000
16.3750,1.000000,1.000000
16.6250,1.000000,1.000000
16.8750,1.000000,1.000000
17.1250,1.000000,1.000000
17.3750,1.000000,1.000000
17.6250,1.000000,1.000000
17.8750,1.000000,1.000000
18.1250,1.000000,1.000000
18.3750,1.000000,1.000000
18.6250,1.000000,1.000000
18.8750,1.000000,1.000000
19.1250,1.000000,1.000000
19.3750,1.000000,1.000000
19.6250,1.000000,1.000000
19.8750,1.000000,1.000000
20.1250,1.000000,1.000000
20.3750,1.000000,1.000000
20.6250,1.000000,1.000000
20.8750,1.000000,1.000000
21.1250,1.000000,1.000000
21.3750,1.000000,1.000000
21.6250,1.000000,1.000000
21.8750,1.000000,1.000000
22.1250,1.000000,1.000000
22.3750,1.000000,1.000000
22.6250,1.000000,1.000000
22.8750,1.000000,1.000000
23.1250,1.000000,1.000000
23.3750,1.000000,1.000000
23.6250,1.000000,1.000000
23.8750,1.000000,1.000000
24.1250,1.000000,1.000000
24.3750,1.000000,1.000000
24.6250,1.000000,1.000000
24.8750,1.000000,1.000000
25.1250,1.000000,1.000000
25.3750,1.000000,1.000000
25.6250,1.000000,1.000000
25.8750,1.000000,1.000000
26.1250,1.000000,1.000000
26.3750,1.000000,1.000000
26.6250,1.000000,1.000000
26.8750,1.000000,1.000000
27.1250,1.000000,1.000000
27.3750,1.000000,1.000000
27.6250,1.000000,1.000000
27.8750,1.000000,1.000000
28.1250,1.000000,1.000000
28.3750,1.000000,1.000000
28.6250,1.000000,1.000000
28.8750,1.000000,1.000000
29.1250,1.000000,1.000000
29.3750,1.000000,1.000000
29.6250,1.000000,1.000000
29.8750,1.000000,1.000000
30.1250,1.000000,1.000000
30.3750,1.000000,1.000000
30.6250,1.000000,1.000000
30.8750,1.000000,1.000000
31.1250,1.000000,1.000000
31.3750,1.000000,1.000000
31.6250,1.000000,1.000000
31.8750,1.000000,1.000000
32.1250,1.000000,1.000000
32.3750,1.000000,1.000000
32.6250,1.000000,1.000000
32.8750,1.000000,1.000000
33.1250,1.000000,0.999999
33.3750,1.000000,0.999998
33.6250,1.000000,0.999995
33.8750,1.000000,0.999988
34.1250,1.000000,0.999975
34.3750,1.000000,0.999949
34.6250,1.000000,0.999899
34.8750,1.000000,0.999804
35.1250,1.000000,0.999632
35.3750,1.000000,0.999331
35.6250,1.000000,0.998821
35.8750,1.000000,0.997992
36.1250,1.000000,0.996701
36.3750,1.000000,0.994773
36.6250,1.000000,0.992024
36.8750,1.000000,0.988279
37.1250,1.000000,0.983404
37.3750,1.000000,0.977333
37.6250,0.991856,0.970081
37.8750,0.978651,0.961739
38.1250,0.965535,0.952458
38.3750,0.952507,0.942412
38.6250,0.939568,0.931780
38.8750,0.926717,0.920721
39.1250,0.913955,0.909365
39.3750,0.901281,0.897812
39.6250,0.888696,0.886134
39.8750,0.876200,0.874383
40.1250,0.863791,0.862592
