x,h_analytical,h_sim
0.5000,1.000000,1.000000
1.5000,1.000000,1.000000
2.5000,1.000000,1.000000
3.5000,1.000000,1.000000
4.5000,1.000000,1.000000
5.5000,1.000000,1.000000
6.5000,1.000000,1.000000
7.5000,1.000000,1.000000
8.5000,1.000000,1.000000
9.5000,1.000000,1.000000
10.5000,1.000000,1.000000
11.5000,1.000000,1.000000
12.5000,1.000000,1.000000
13.5000,1.000000,1.000000
14.5000,1.000000,1.000000
15.5000,1.000000,1.000000
16.5000,1.000000,1.000000
17.5000,1.000000,1.000000
18.5000,1.000000,1.000000
19.5000,1.000000,1.000000
20.5000,1.000000,1.000000
21.5000,1.000000,1.000000
22.5000,1.000000,1.000000
23.5000,1.000000,1.000000
24.5000,1.000000,1.000000
25.5000,1.000000,0.999999
26.5000,1.000000,0.999998
27.5000,1.000000,0.999992
28.5000,1.000000,0.999973
29.5000,1.000000,0.999915
30.5000,1.000000,0.999750
31.5000,1.000000,0.999311
32.5000,1.000000,0.998233
33.5000,1.000000,0.995813
34.5000,1.000000,0.990884
35.5000,1.000000,0.981844
36.5000,1.000000,0.966990
37.5000,0.998491,0.945138
38.5000,0.946027,0.916180
39.5000,0.894978,0.881175
40.5000,0.845345,0.841876
41.5000,0.797128,0.800059
42.5000,0.750326,0.757034
43.5000,0.704941,0.713887
44.5000,0.660971,0.671648
45.5000,0.618417,0.630534
46.5000,0.577279,0.590682
47.5000,0.537556,0.552122
48.5000,0.499250,0.514815
49.5000,0.462359,0.478663
50.5000,0.426884,0.443380
51.5000,0.392825,0.408317
52.5000,0.360181,0.375038
53.5000,0.328953,0.343203
54.5000,0.299142,0.312980
55.5000,0.270745,0.284471
56.5000,0.243765,0.257341
57.5000,0.218201,0.231105
58.5000,0.194052,0.205967
59.5000,0.171319,0.182358
60.5000,0.150002,0.160848
61.5000,0.130100,0.141889
62.5000,0.111615,0.124990
63.5000,0.094545,0.107922
64.5000,0.078891,0.087138
65.5000,0.064653,0.058970
66.5000,0.051830,0.029587
67.5000,0.040424,0.012296
68.5000,0.030433,0.004209
69.5000,0.021858,0.001164
70.5000,0.014699,0.000255
71.5000,0.008955,0.000046
72.5000,0.004627,0.000011
73.5000,0.001716,0.000000
74.5000,0.000219,0.000000
75.5000,0.000000,0.000000
76.5000,0.000000,0.000000
77.5000,0.000000,0.000000
78.5000,0.000000,0.000000
79.5000,0.000000,0.000000
80.5000,0.000000,0.000000
81.5000,0.000000,0.000000
82.5000,0.000000,0.000000
83.5000,0.000000,0.000000
84.5000,0.000000,0.000000
85.5000,0.000000,0.000000
86.5000,0.000000,0.000000
87.5000,0.000000,0.000000
88.5000,0.000000,0.000000
89.5000,0.000000,0.000000
90.5000,0.000000,0.000000
91.5000,0.000000,0.000000
92.5000,0.000000,0.000000
93.5000,0.000000,0.000000
94.5000,0.000000,0.000000
95.5000,0.000000,0.000000
96.5000,0.000000,0.000000
97.5000,0.000000,0.000000
98.5000,0.000000,0.000000
99.5000,0.000000,0.000000
