x,h_analytical,h_sim
-1.2344,0.000000,0.000000
-1.2031,0.000000,0.000000
-1.1719,0.000000,0.000000
-1.1406,0.000000,0.000000
-1.1094,0.000000,0.000000
-1.0781,0.004303,0.004323
-1.0469,0.010318,0.010347
-1.0156,0.016139,0.016111
-0.9844,0.021764,0.021733
-0.9531,0.027193,0.027165
-0.9219,0.032428,0.032400
-0.8906,0.037467,0.037437
-0.8594,0.042311,0.042276
-0.8281,0.046959,0.046912
-0.7969,0.051412,0.051354
-0.7656,0.055670,0.055603
-0.7344,0.059732,0.059661
-0.7031,0.063600,0.063530
-0.6719,0.067271,0.067206
-0.6406,0.070748,0.070686
-0.6094,0.074029,0.073972
-0.5781,0.077115,0.077061
-0.5469,0.080006,0.079955
-0.5156,0.082701,0.082654
-0.4844,0.085201,0.085158
-0.4531,0.087506,0.087467
-0.4219,0.089615,0.089582
-0.3906,0.091529,0.091502
-0.3594,0.093248,0.093225
-0.3281,0.094771,0.094753
-0.2969,0.096100,0.096084
-0.2656,0.097232,0.097218
-0.2344,0.098170,0.098157
-0.2031,0.098912,0.098900
-0.1719,0.099459,0.099446
-0.1406,0.099811,0.099798
-0.1094,0.099967,0.099954
-0.0781,0.099928,0.099915
-0.0469,0.099693,0.099681
-0.0156,0.099264,0.099252
0.0156,0.098639,0.098627
0.0469,0.097818,0.097806
0.0781,0.096803,0.096788
0.1094,0.095592,0.095575
0.1406,0.094186,0.094166
0.1719,0.092584,0.092563
0.2031,0.090787,0.090766
0.2344,0.088795,0.088776
0.2656,0.086607,0.086592
0.2969,0.084225,0.084215
0.3281,0.081646,0.081644
0.3594,0.078873,0.078877
0.3906,0.075904,0.075915
0.4219,0.072740,0.072760
0.4531,0.069381,0.069410
0.4844,0.065826,0.065863
0.5156,0.062076,0.062122
0.5469,0.058131,0.058184
0.5781,0.053990,0.054043
0.6094,0.049654,0.049695
0.6406,0.045123,0.045141
0.6719,0.040396,0.040380
0.7031,0.035475,0.035423
0.7344,0.030357,0.030276
0.7656,0.025045,0.024957
0.7969,0.019537,0.019465
0.8281,0.013834,0.013799
0.8594,0.007936,0.007935
0.8906,0.001842,0.001920
0.9219,0.000000,0.000001
0.9531,0.000000,0.000001
0.9844,0.000000,0.000001
1.0156,0.000000,0.000001
1.0469,0.000000,0.000001
1.0781,0.000000,0.000001
1.1094,0.000000,0.000000
1.1406,0.000000,0.000000
1.1719,0.000000,0.000000
1.2031,0.000000,0.000000
1.2344,0.000000,0.000000
