x,y,h,is_building
1.000,1.000,1.39831,0
3.000,1.000,1.39065,0
5.000,1.000,1.39068,0
7.000,1.000,1.39070,0
9.000,1.000,1.39067,0
11.000,1.000,1.39058,0
13.000,1.000,1.39039,0
15.000,1.000,1.39009,0
17.000,1.000,1.38964,0
19.000,1.000,1.38900,0
21.000,1.000,1.38811,0
23.000,1.000,1.38691,0
25.000,1.000,1.38530,0
27.000,1.000,1.38320,0
29.000,1.000,1.38050,0
31.000,1.000,1.37710,0
33.000,1.000,1.37292,0
35.000,1.000,1.36785,0
37.000,1.000,1.36184,0
39.000,1.000,1.35482,0
41.000,1.000,1.34678,0
43.000,1.000,1.33774,0
45.000,1.000,1.32777,0
47.000,1.000,1.31696,0
49.000,1.000,1.30546,0
51.000,1.000,1.29341,0
53.000,1.000,1.28094,0
55.000,1.000,1.26816,0
57.000,1.000,1.25525,0
59.000,1.000,1.24228,0
61.000,1.000,1.22933,0
63.000,1.000,1.21666,0
65.000,1.000,1.20413,0
67.000,1.000,1.19160,0
69.000,1.000,1.17925,0
71.000,1.000,1.16718,0
73.000,1.000,1.15518,0
75.000,1.000,1.14320,0
77.000,1.000,1.13143,0
79.000,1.000,1.11989,0
81.000,1.000,1.10839,0
83.000,1.000,1.09691,0
85.000,1.000,1.08571,0
87.000,1.000,1.07474,0
89.000,1.000,1.06376,0
91.000,1.000,1.05294,0
93.000,1.000,1.04252,0
95.000,1.000,1.03221,0
97.000,1.000,1.02193,0
99.000,1.000,1.01202,0
101.000,1.000,1.00248,0
103.000,1.000,0.99296,0
105.000,1.000,0.98354,0
107.000,1.000,0.97463,0
109.000,1.000,0.96604,0
111.000,1.000,0.95742,0
113.000,1.000,0.94902,0
115.000,1.000,0.94105,0
117.000,1.000,0.93324,0
119.000,1.000,0.92539,0
121.000,1.000,0.91765,0
123.000,1.000,0.91001,0
125.000,1.000,0.90229,0
127.000,1.000,0.89428,0
129.000,1.000,0.88598,0
131.000,1.000,0.88467,0
133.000,1.000,0.93623,0
135.000,1.000,1.15834,0
137.000,1.000,1.29835,0
139.000,1.000,1.32972,0
141.000,1.000,1.30356,0
143.000,1.000,1.26074,0
145.000,1.000,1.22577,0
147.000,1.000,1.19059,0
149.000,1.000,1.15266,0
151.000,1.000,1.11217,0
153.000,1.000,1.06971,0
155.000,1.000,1.02556,0
157.000,1.000,0.97962,0
159.000,1.000,0.93284,0
161.000,1.000,0.88787,0
163.000,1.000,0.84371,0
165.000,1.000,0.80273,0
167.000,1.000,0.76679,0
169.000,1.000,0.73463,0
171.000,1.000,0.70469,0
173.000,1.000,0.67743,0
175.000,1.000,0.65334,0
177.000,1.000,0.63100,0
179.000,1.000,0.60929,0
181.000,1.000,0.58751,0
183.000,1.000,0.56515,0
185.000,1.000,0.54177,0
187.000,1.000,0.51693,0
189.000,1.000,0.49039,0
191.000,1.000,0.46187,0
193.000,1.000,0.43092,0
195.000,1.000,0.39645,0
197.000,1.000,0.35629,0
199.000,1.000,0.30576,0
201.000,1.000,0.23116,0
203.000,1.000,0.10753,0
205.000,1.000,0.01487,0
207.000,1.000,0.00051,0
209.000,1.000,0.00000,0
211.000,1.000,0.00000,0
213.000,1.000,0.00000,0
215.000,1.000,0.00000,0
217.000,1.000,0.00000,0
219.000,1.000,0.00000,0
221.000,1.000,0.00000,0
223.000,1.000,0.00000,0
225.000,1.000,0.00000,0
227.000,1.000,0.00000,0
229.000,1.000,0.00000,0
231.000,1.000,0.00000,0
233.000,1.000,0.00000,0
235.000,1.000,0.00000,0
237.000,1.000,0.00000,0
239.000,1.000,0.00000,0
241.000,1.000,0.00000,0
243.000,1.000,0.00000,0
245.000,1.000,0.00000,0
247.000,1.000,0.00000,0
249.000,1.000,0.00000,0
251.000,1.000,0.00000,0
253.000,1.000,0.00000,0
255.000,1.000,0.00000,0
257.000,1.000,0.00000,0
259.000,1.000,0.00000,0
261.000,1.000,0.00000,0
263.000,1.000,0.00000,0
265.000,1.000,0.00000,0
267.000,1.000,0.00000,0
269.000,1.000,0.00000,0
271.000,1.000,0.00000,0
273.000,1.000,0.00000,0
275.000,1.000,0.00000,0
277.000,1.000,0.00000,0
279.000,1.000,0.00000,0
281.000,1.000,0.00000,0
283.000,1.000,0.00000,0
285.000,1.000,0.00000,0
287.000,1.000,0.00000,0
289.000,1.000,0.00000,0
291.000,1.000,0.00000,0
293.000,1.000,0.00000,0
295.000,1.000,0.00000,0
297.000,1.000,0.00000,0
299.000,1.000,0.00000,0
301.000,1.000,0.00000,0
303.000,1.000,0.00000,0
305.000,1.000,0.00000,0
307.000,1.000,0.00000,0
309.000,1.000,0.00000,0
311.000,1.000,0.00000,0
313.000,1.000,0.00000,0
315.000,1.000,0.00000,0
317.000,1.000,0.00000,0
319.000,1.000,0.00000,0
321.000,1.000,0.00000,0
323.000,1.000,0.00000,0
325.000,1.000,0.00000,0
327.000,1.000,0.00000,0
329.000,1.000,0.00000,0
331.000,1.000,0.00000,0
333.000,1.000,0.00000,0
335.000,1.000,0.00000,0
337.000,1.000,0.00000,0
339.000,1.000,0.00000,0
341.000,1.000,0.00000,0
343.000,1.000,0.00000,0
345.000,1.000,0.00000,0
347.000,1.000,0.00000,0
349.000,1.000,0.00000,0
351.000,1.000,0.00000,0
353.000,1.000,0.00000,0
355.000,1.000,0.00000,0
357.000,1.000,0.00000,0
359.000,1.000,0.00000,0
361.000,1.000,0.00000,0
363.000,1.000,0.00000,0
365.000,1.000,0.00000,0
367.000,1.000,0.00000,0
369.000,1.000,0.00000,0
371.000,1.000,0.00000,0
373.000,1.000,0.00000,0
375.000,1.000,0.00000,0
377.000,1.000,0.00000,0
379.000,1.000,0.00000,0
381.000,1.000,0.00000,0
383.000,1.000,0.00000,0
385.000,1.000,0.00000,0
387.000,1.000,0.00000,0
389.000,1.000,0.00000,0
391.000,1.000,0.00000,0
393.000,1.000,0.00000,0
395.000,1.000,0.00000,0
397.000,1.000,0.00000,0
399.000,1.000,0.00000,0
401.000,1.000,0.00000,0
403.000,1.000,0.00000,0
405.000,1.000,0.00000,0
407.000,1.000,0.00000,0
409.000,1.000,0.00000,0
411.000,1.000,0.00000,0
413.000,1.000,0.00000,0
415.000,1.000,0.00000,0
417.000,1.000,0.00000,0
419.000,1.000,0.00000,0
421.000,1.000,0.00000,0
423.000,1.000,0.00000,0
425.000,1.000,0.00000,0
427.000,1.000,0.00000,0
429.000,1.000,0.00000,0
431.000,1.000,0.00000,0
433.000,1.000,0.00000,0
435.000,1.000,0.00000,0
